-20,000000;-4942,914262
-19,500000;-4906,666434
-19,000000;-4869,282223
-18,500000;-4830,700502
-18,000000;-4790,855371
-17,500000;-4749,675673
-17,000000;-4707,084441
-16,500000;-4662,998275
-16,000000;-4617,326634
-15,500000;-4569,971039
-15,000000;-4520,824165
-14,500000;-4469,768805
-14,000000;-4416,676688
-13,500000;-4361,407136
-13,000000;-4303,805523
-12,500000;-4243,701508
-12,000000;-4180,907025
-11,500000;-4115,213976
-11,000000;-4046,391618
-10,500000;-3974,183594
-10,000000;-3898,304621
-9,500000;-3818,436844
-9,000000;-3734,225946
-8,500000;-3645,277247
-8,000000;-3551,152232
-7,500000;-3451,366423
-7,000000;-3345,390374
-6,500000;-3232,657244
-6,000000;-3112,583734
-5,500000;-2984,618150
-5,000000;-2848,344282
-4,500000;-2703,704141
-4,000000;-2551,486957
-3,500000;-2394,459787
-3,000000;-2240,212678
-2,500000;-2109,334846
-2,000000;-2064,661058
